subgraph,sentence
<S> <H> supportive housing providers ensuring strong linkages to care <POS> <T> promote healthy connections among residents <H> supportive housing providers ensuring strong linkages to care <POS> <T> their families <H> supportive housing providers ensuring strong linkages to care <POS> <T> community <E>,"Supportive housing providers can ensure strong linkages to care and promote healthy connections among residents, their families, and community."
<S> <H> received the intervention <POS> <T> 30% fewer suicide attempts <E>,Participants who received the intervention had 30% fewer suicide attempts than participants who received treatment as usual.
<S> <H> postvention and safe reporting and messaging <POS> <T> impact risk and protective factors for suicide <E>,Current evidence suggests that postvention and safe reporting and messaging can impact risk and protective factors for suicide.
<S> <H> other policies <POS> <T> time and space between lethal means and people with suicidal thoughts or intent <H> other policies <POS> <T> mandatory waiting periods <E>,Other policies to put time and space between lethal means and people with suicidal thoughts or intent include mandatory waiting periods.
<S> <H> federal and state laws include provisions for coverage of mental health services <POS> <T> mental health parity <E>,"Federal and state laws include provisions for coverage of mental health services in health insurance plans that is on par with coverage for other health concerns, called mental health parity ."
<S> <H> parenthood <POS> <T> new challenges <H> parenthood <POS> <T> stressors <E>,"Finally, parenthood is another life period with many new challenges and stressors."
<S> <H> teach parenting skills <POS> <T>  family relationships <E>,Teach parenting skills to improve family relationships
<S> <H> suicide prevention resource for action <POS> <T> impact on suicide <H> suicide prevention resource for action <POS> <T> suicide attempts <H> suicide prevention resource for action <POS> <T> risk or protective factors <E>,"This Suicide Prevention Resource for Action includes policies, programs, and practices with evidence of impact on suicide, suicide attempts, or risk or protective factors."
<S> <H> public health playing an important and unique role <POS> <T> comprehensive suicide prevention <E>,Public health can play an important and unique role in comprehensive suicide prevention.
<S> <H> therapeutic approaches <POS> <T> suicide-focused psychotherapy <H> therapeutic approaches <POS> <T> clinically trained providers <H> therapeutic approaches <POS> <T> various forms of suicide-focused psychotherapy delivered <E>,Therapeutic approaches include various forms of suicide-focused psychotherapy delivered by clinically trained providers.
<S> <H> people at risk for suicide do not meet criteria for treatments <POS> <T> delay treatment <H> people at risk for suicide do not meet criteria for treatments <POS> <T> or do not seek treatment <H> people at risk for suicide do not meet criteria for treatments <POS> <T>  suicide risk <E>,"Unfortunately, many people at risk for suicide do not meet criteria for these treatments, delay treatment, or do not seek treatment."
<S> <H> laws <POS> <T> insert time and space between an individuals impulse or decision to attempt suicide and an actual suicide attempt <E>,These laws may help insert time and space between an individuals impulse or decision to attempt suicide and an actual suicide attempt.
<S> <H> social connection <POS> <T> school connectedness <H> social connection <POS> <T> protection against physical and psychological disorders <H> social connection <POS> <T> all causes of mortality <H> social connection <POS> <T> suicidal ideation and attempts <E>,"Literature consistently depicts social connection and school connectedness as protective factors against physical and psychological disorders, all causes of mortality, and suicidal ideation and attempts."
<S> <H> accessing postvention services at the time of <POS> <T> or soon after <H> accessing postvention services at the time of <POS> <T> experiencing the death of a loved one by suicide <H> accessing postvention services at the time of <POS> <T> underscore the importance of these findings <E>,"These findings underscore the importance of accessing postvention services at the time of, or soon after, experiencing the death of a loved one by suicide."
<S> <H> public messaging about suicide prevention <POS> <T> educating individuals about warning signs <H> public messaging about suicide prevention <POS> <T> resources available to help individuals at risk for suicide <E>,Public messaging about suicide prevention is a key communication strategy for educating individuals about warning signs and resources available to help individuals at risk for suicide before a crisis occurs.
<S> <H> advance changes in policies <POS> <T> systems <H> advance changes in policies <POS> <T> and environments <H> advance changes in policies <NEG> <T> suicide <E>,"Policymakers can advance changes in policies, systems, and environments that will help reduce suicide."
<S> <H> engaging all sectors of communities in understanding and implementing safe messaging about suicide <NEG> <T> future risk <E>,Engaging all sectors of communities in understanding and implementing safe messaging about suicide may prevent future risk.
<S> <H> increased school connectedness <POS> <T> reduced reports of suicidal thoughts and behaviors <H> increased school connectedness <POS> <T> adolescents who identify as sexual minorities <H> increased school connectedness <POS> <T> other individuals including those residing in communities with increased risk of suicide <H> increased school connectedness <POS> <T> those experiencing physical <E>,"Increased school connectedness is associated with reduced reports of suicidal thoughts and behaviors across adolescents, including adolescents who identify as sexual minorities, as well as other individuals including those residing in communities with increased risk of suicide and those experiencing physical"
<S> <H> several programs <POS> <T> promising impacts <H> several programs <POS> <T> reducing suicidal thoughts and behaviors <E>,Several programs have shown promising impacts on reducing suicidal thoughts and behaviors.
<S> <H> media campaigns providing information regarding warning signs and resources and encouraging help-seeking behaviors <POS> <T> focus on publics perceptions about suicide <E>,Media campaigns often focus on the publics perceptions about suicide by providing information regarding warning signs and resources and encouraging help-seeking behaviors.
<S> <H> suicidal ideation <POS> <T> suicide attempts <H> suicidal ideation <POS> <T> suicide rates <H> suicidal ideation <POS> <T> psychological distress <H> suicidal ideation <POS> <T> contagion effects related to suicide <E>,"suicidal ideation, suicide attempts, suicide rates, psychological distress, and contagion effects related to suicide."
<S> <H> lived experience attempted suicide <POS> <T> suicidal thoughts <H> lived experience attempted suicide <POS> <T> loss of friend or family member to suicide <H> lived experience attempted suicide <POS> <T> anger <H> lived experience attempted suicide <POS> <T> guilt <H> lived experience attempted suicide <POS> <T> physical impairment <H> lived experience attempted suicide <POS> <T> long-term health and mental health consequences <E>,"Research also indicates that people with lived experience, such as having attempted suicide, having suicidal thoughts, or having experienced the loss of a friend or family member to suicide, may suffer long-term health and mental health consequences, such as anger, guilt, and physical impairment."
<S> <H> rigorous randomized controlled trial done in canada among individuals experiencing homelessness with major mental health illnesses <POS> <T> decreases in suicidal ideation over two years <E>,A more rigorous randomized controlled trial done in Canada among individuals experiencing homelessness with major mental health illnesses also observed decreases in suicidal ideation over two years.
<S> <H> comprehensive suicide prevention <POS> <T> preventing suicide risk <H> comprehensive suicide prevention <POS> <T> supporting those at increased risk of suicide <H> comprehensive suicide prevention <POS> <T> preventing reattempts <H> comprehensive suicide prevention <POS> <T> supporting survivors of suicide loss <E>,"Comprehensive suicide prevention includes preventing suicide risk, supporting those at increased risk of suicide, preventing reattempts, and supporting survivors of suicide loss."
<S> <H> teaching and providing youth with both education and skills to manage everyday challenges and stressors <POS> <T> important developmental component to suicide prevention <E>,Teaching and providing youth with both education and skills to manage everyday challenges and stressors is an important developmental component to suicide prevention.
<S> <H> some social ties <POS> <T> risk for suicidal behavior <E>,"Evidence that some social ties may increase an individuals risk for suicidal behavior,"
<S> <H> disproportionate impact on groups <POS> <T> suicidal thoughts <H> disproportionate impact on groups <POS> <T> attempts <H> disproportionate impact on groups <POS> <T> suicide <H> factors affecting risk <NEG> <T> males suicide <H> factors affecting risk <NEG> <T> females suicide attempts <H> factors affecting risk <NEG> <T> middle-aged and older adults suicide <H> factors affecting risk <NEG> <T> people living with a mental health disorder <H> factors affecting risk <NEG> <T> people who have previously attempted suicide <H> factors affecting risk <NEG> <T> people with a history of non-suicidal self-injury <H> factors affecting risk <NEG> <T> veterans and active-duty military personnel <H> factors affecting risk <NEG> <T> individuals who are institutionalized <H> factors affecting risk <NEG> <T> people with exposure to adverse childhood experiences <H> factors affecting risk <NEG> <T> violence <H> factors affecting risk <NEG> <T> or traumatic stress <H> factors affecting risk <NEG> <T> people experiencing unstable housing <H> factors affecting risk <NEG> <T> individuals with substance use disorders <H> factors affecting risk <NEG> <T> individuals of sexual and gender minority status <H> factors affecting risk <NEG> <T> some displaced persons or refugees <H> factors affecting risk <NEG> <T> people with lower incomes <H> factors affecting risk <NEG> <T> non-Hispanic American Indian or Alaska Native <H> factors affecting risk <NEG> <T> non-Hispanic Black <H> factors affecting risk <NEG> <T> non-Hispanic White adolescents and young adults <E>,"Groups disproportionately impacted by suicidal thoughts, attempts, and/or suicide include: males (suicide), females (suicide attempts), middle-aged and older adults (suicide), people living with a mental health disorder, people who have previously attempted suicide, people with a history of non-suicidal self-injury, veterans and active-duty military personnel, individuals who are institutionalized, people with exposure to adverse childhood experiences, violence, or traumatic stress, people experiencing unstable housing, individuals with substance use disorders, individuals of sexual and gender minority status, some displaced persons or refugees, people with lower incomes, and some racial and ethnic groups, including non-Hispanic American Indian or Alaska Native, non-Hispanic Black, and non-Hispanic White adolescents and young adults."
<S> <H> participation in fbp <POS> <T> significantly less suicidal ideation <H> participation in fbp <POS> <T> fewer suicide attempts at 6-year and 15-year follow-ups <E>,It reports significantly less suicidal ideation and fewer suicide attempts at 6-year and 15-year follow- ups among children who participated in FBP when compared with a group of children who have lost a parent to suicide but did not participate in FBP.
<S> <H> safe storage of medications <POS> <T> firearms <H> safe storage of medications <POS> <T> and other household products <H> safe storage of medications <NEG> <T> the risk for suicide <E>,"Safe storage of medications, firearms, and other household products can reduce the risk for suicide by separating individuals at elevated risk of suicide from easy access to lethal means."
<S> <H> stigma surrounding mental health concerns <POS> <T> depression <H> stigma surrounding mental health concerns <POS> <T> anxiety <H> stigma surrounding mental health concerns <POS> <T> conduct problems <H> stigma surrounding mental health concerns <POS> <T> substance use <H> stigma surrounding mental health concerns <POS> <T> suicidal ideation <H> stigma surrounding mental health concerns <POS> <T> suicide attempts <E>,"stigma surrounding mental health concerns, depression, anxiety, conduct problems, and substance use, suicidal ideation, and suicide attempts."
<S> <H> additional research <POS> <T> engage children <H> additional research <POS> <T> connect with community members and community resources <H> additional research <NEG> <T> suicide <E>,"Additional research is warranted regarding strategies to engage children, help them connect with community members and community resources, and prevent suicide."
<S> <H> identifying and supporting people at risk for suicide <POS> <T> suicide prevention <E>,Identifying and supporting people at risk for suicide is critical to suicide prevention.
<S> <H> training and size of the mental healthcare workforce <POS> <T> access to effective and state-of-the-art mental healthcare <E>,Access to effective and state-of-the-art mental healthcare is largely dependent upon the training and the size of the mental healthcare workforce.
<S> <H> strategies and approaches to prevent the risk of suicide <POS> <T> lessening the immediate and long-term harms of suicidal behavior <E>,"It includes strategies and approaches to prevent the risk of suicide in the first place, as well as strategies focused on lessening the immediate and long-term harms of suicidal behavior."
